*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Save	Save	Mentés	Redden	Guardar	Salveaza	Zapisz	Uložit	Save	Salvar	Guardar	Salvesta	Enregistrer	Enregistrer	저장	储存	儲存	Sačuvaj	Сохранить	Kaydet	Tallenna	Запазване	Зберегти	Speichern	Desa	Salva	保存する	Išsaugoti	حفظ	Сақтау	Lagre	I-save	बचाना	บันทึก	simpan	შენახვა	Saglabāt	Lưu	Αποθήκευση Αρχείου	Захаваць	Uložiť	Spara	ذخیره
Select a file to continue	Select a file to continue	Válassz ki egy fájlt a folytatáshoz	Selecteer een bestand om door te gaan	Selecciona un archivo para continuar	Selectați un fișier pentru a continua	Wybierz plik aby kontynuować	Vyber soubor pro pokračování	Odaberite fajl za nastavak	Selecionar arquivo para continuar	Selecionar Ficheiro para continuar	Vali fail et jätkada	Choisir un fichier pour continuer	Choisir un fichier pour continuer	계속 할 파일을 선택하세요	选择一个文件以继续	選擇一個文件以繼續	Izaberi fajl da bi nastavio	Для продолжения выберите файл	Devam etmek için dosya seç	Valitse tiedosto jatkaaksesi	Изберете файл, за да продължите	Виберіть файл, щоб продовжити	Wähle eine Datei aus, um fortzufahren	Selecciona un fitxer per continuar	Seleziona un file per continuare	続行するファイルを選択してください	Pasirinkite failą, kad galėtumėte tęsti	حدد ملف للمتابعة	Жалғастыру үшін файлды таңдаңыз	Velg en fil for å fortsette	Pumili ng file na kokopyahin	जारी रखनेके लि ए एक फ़ाइल का चयन करें	เลือกไฟล์เพื่อดำเนินการต่อ	pilih file untuk melanjutkan	გასაგრძელებლად აირჩიეთ ფაილი	Izvēlies failu lai turpinātu	Chọn một tệp để tiếp tục	Επιλέξτε ένα αρχείο για να συνεχίσετε	Выберыце файл для працягу	Vyber súbor pre pokračovanie	Välj fil för att fortsätta	برای ادامه فایلی را انتخاب کنید
Clear	Clear	Minden törlése	Duidelijk	Limpiar	Clar	Wyczyść	Smazat	Jasno	Limpar	Limpar	Puhasta	Dégager	Dégager	분명한	清除	清除	Očisti	Очистить	Temiz	Tyhjennä	Чисто	Очистити	Löschen	Clar	Pulisci	クリア	Ištrinti	صافي	Таза	Fjern	Malinaw	साफ़	ค่าเริ่มต้น	bersih	გასუფთავება	Notīrīt	Dọn	Εκκαθάριση	Ясна	Vymazať	Ränsa	پاک کردن
Mechanical Keyboard	Mechanical Keyboard	Mechanikus Billenytűzet	Mechanisch toetsenbord	Teclado mecánico	Tastatură Mecanică	Klawiatura mechaniczna	Mechanická klávesnice	Mehanička tastatura	Teclado Mecânico	Teclado Mecânico	mehaaniline klaviatuur	Clavier Méchanique	Clavier Méchanique	기계식 키보드	机械键盘	機械鍵盤	Mehanička tastatura	Механическая клавиатура	Mekanik klavye	Mekaaninen näppäimistö	Механична клавиатура	Механічна клавіатура	Mechanische Tastatur	Teclat mecànic	Tastiera Meccanica	メカニカルキーボード	Mechaninė Klaviatūra	لوحة مفاتيح ميكانيكية	Механикалық пернетақта	Mekanisk tastatur	mekanikal na keyboard	मकै ेनि कल कीबोर	คีย์บอร์ดเกมมิ่ง	Keyboard Mekanik	მექანიკური კლავიატურა	Mehāniskā Klaviatūra	Bàn Phím Cơ	Μηχανικό Πληκτρολόγιο	Механічная клавіятура	Mechanická klávesnica	Mekaniskt tagenbord	صفحه کلید مکانیکی
Tip: Click on enemies to kill them	Tip: Click on enemies to kill them	Tipp: Clickelj az ellenségre hogy megöld	Tip: klik op vijanden om ze te doden	Consejo: Toca a los enemigos para matarlos	Sfat: Faceți clic pe inamici pentru a-i ucide	Rada: Klikaj na przeciwników aby ich zabijać	Tip: Klikni na nepřítele, aby jsi ho  zabil	Savjet: Kliknite na neprijatelje da ih ubijete	Dica: Clique nos inimigos para mata-los	Dica: Clica nos inimigos para mata-los	Näpunäide: Vaenlaste tapmiseks klõpsake nende peale	Conseil: Clique sur les énemies pour les tuer	Conseil: Cliquez sur les ennemis pour les tuer	클릭하여 적을 죽이세요	提示：点击敌人消灭他们	提示：點擊敵人消滅他們	Savet: Klikni na neprijatelje da bi ih uništio	Подсказка: кликайте по врагам, чтобы убить их	İpucu: Düşmanları öldürmek için onlara tıklamalısın	Vinkki: Napsauta vihollisia tappaaksesi heidät	Съвет: щракнете върху врагове, за да ги убиете	Підказка: натискайте на ворогів, щоб вдарити їх	Tipp: Klicke auf Feinde, um sie zu töten	Consell: Feu clic als enemics per matar-los	Suggerimento: Tocca i nemici per ucciderli	ヒント：敵をクリックして殺します	Patarimas: Spauskite ant priešų, kad juos nužudytumėte.	نصيحة: انقر على الأعداء لقتلهم	Кеңес: жауларды өлтіру үшін басыңыз	Tips: klikk på fiender for å drepe dem	Tip: Mag-click sa mga kaaway para patayin sila,	यक्तिुक्ति : दश्ुमनों को मारनेके लि ए उन पर क्लि क करें	เคล็ดลับ: คลิกที่ศัตรูเพื่อฆ่าพวกมัน	Tips:Klik pada musuh untuk membunuh mereka	მინიშნება: დააჩირეთ მოწინააღმდეგეს მოსაკლავად	Tips: Spied uz ienaidniekiem lai viņus nogalinātu	Mẹo: Nhấp vào kẻ thù để giết chúng	Συμβουλή: Κάντε κλικ στους εχθρούς για να τους σκοτώσετε	Савет: націсніце на ворагаў, каб забіць іх	Tip:Klikni na nepriateľov aby si ich zabil	Tips: Klicka på fienderna för att dlda dom	راهنما: برای کشتن دشمنان روی آنها کلیک کنید
Remove with hammer	Remove with hammer	Kalapáccsal távolítsd el	Verwijderen met hamer	Quitar con el martillo	Scoateți cu Ciocanul	Usuń używając młotka	Odebrat kladivem	Ukloniti čekićem	Remova com o martelo	Remove com o martelo	Eemalda haamriga	Enlever avec le marteau	Retirer avec le marteau	망치로 없애기	使用锤子移除	使用錘子移除	Ukloni s čekićem	Убрать с помощью молотка	Çekiçle kaldır	Poista vasaralla	Премахни със чук	Відкріпити за допомогою молотка	Entferne mit Hammer	Retirar amb un martell	Rimuovi utilizzando un martello	ハンマーで取り除く	Pašalinti plaktuku	إزالة بمطرقة	Балғамен алып тастаңыз	Bruk hammer for å fjerne	Alisin gamit ang martilyo	हथौड़ेसेनि कालें	ใช้ค้อนเพื่อถอด	hapus dengan palu	მოსაცილებლად გამოიყებე ჩაქუჩი	Noņemt ar āmuru	Loại bỏ bằng búa	Aφαιρέστε με το χέρι	Зняць малатком	Odstráň s kladivom	Ta bort med hammare	با چکش بردارید
Select Example	Select Example	Válassz példát	Selecteer voorbeeld	Seleccionar ejemplo	Selectați Exemplu	Wybierz przykład	Vybrat příklad	Odaberite Primjer	Selecionar Exemplo	Selecionar Exemplo	Vali Näide	Sélectionner exemple	Sélectionner exemple	예시 선택	选择例子	選擇例子	Izaberi primer	Выберите пример	Örnek seç	Valitse esimerkki	Изберете Пример	Виберіть зразок	Beispiel auswählen	Selecciona un exemple	Seleziona Esempio	例を選択	Pasirinkite pavyzdį	حدد المثال	Мысал таңдаңыз	Velg eksempel	Pumili ng halimbawa	उदाहरण चनु ें	เลือกตัวอย่าง	pilih contoh	აირჩიეთ მაგალითი	Izvēlies Piemēru	Chọn Ví Dụ	Επιλογή Παραδείγματος	Выберыце Прыклад	Vyber príklad	Välj exempel	نمونه ای را انتخاب کنید
Wall Mount	Wall Mount	Fali konzol	Muurbevestiging	Montar en pared	Montare pe Perete	Mocowanie ścienne	Nástěnný držák	Zidni nosač	Suporte de Parede	Suporte de Parede	seinakinnitus	Rack mural	Support mural	벽걸이 거치대	壁挂架	壁掛架	Zidni nosač	Настенное крепление	Duvara montaj	Seinä kiinitin	Стойка за стена	Настінне кріплення	Wandhalterung	Muntatge en paret	Fissaggio a parete	壁掛けモニタースタンド	Sieninis Laikiklis	جدار جبل	Қабырғаға аспа	Veggfeste	Mount sa dingding	दीवार पर चढ़ना	ขาแขวน	pemasangan di dinding	კედლის მისაკრობი	Sienas Stiprinājums	Giá Treo Tường	Βάση Τοίχου	Насценнае мацаванне	Mástenný držiak	Vägg montering	نگهدارنده دیواری
TV	TV	TV	TV	TV	TV	TV	TV	TV	TV	TV	Telekas/TV	TV	TV	TV	电视	電視	TV	Телевизор	Televizyon	Tv	Телевизор	Телевізор	TV	TV	TV	テレビ	TV	تلفزيون	теледидар	TV	TV	टीवी	TV	TV	ტელევიზორი	Televizors	TV	Τηλεόραση	тэлевізар	TV	TV	تلویزیون
CRT Monitor	CRT Monitor	CRT Monitor	CRT Monitor	Monitor CRT	Monitor CRT	Monitor CRT	CRT Monitor	CRT monitor	Monitor CRT	Monitor CRT	CRT Monitor	Moniteur CRT	Moniteur CRT	브라운관 모니터	CRT显示器	CRT顯示器	CRT monitor	ЭЛТ монитор	CRT Monitör	Crt näyttö	CRT монитор	ЕПТ монітор	CRT Monitor	Monitor CRT	Monitor CRT	CRTモニター	CRT Monitorius	شاشة CRT	CRT мониторы	CRT-skjerm	CRT Monitor	सीआरटी मॉनि टर	จอภาพ CRT	CRT Monitor	CTR მონიტორი	CRT Monitors	Màn Hình CRT	Οθόνη CRT	ЭПТ-манітор	CRT Monitor	CRT skärm	صفحه نمایش CRT
Laptop	Laptop	Laptop	Laptop	Laptop	Leptop	Laptop	Laptop	Laptop	Notebook	Portátil	Sülearvuti	Laptop	PC Portable	노트북	笔记本电脑	筆記本電腦	Laptop	Ноутбук	Dizüstü bilgisayar	Läppäri	Лаптоп	Ноутбук	Laptop	Portàtil	Portatile	ラップトップ	Nešiojamasis kompiuteris	حاسوب محمول	Ноутбук	Laptop	Laptop	लपै टॉप	แล็ปท็อป	laptop	ლეპტოპი	Portatīvais Dators	Máy Tính Xách Tay	Φορητός Υπολογιστής	Ноўтбук	Laptop	Laptop	لپ تاپ
Mouse	Mouse	Egér	Muis	Mouse	Maus	Myszka	Myš	Miš	Mouse	Rato	Hiir	Souris	Souris	마우스	鼠标	鼠標	Miš	Мышь	Fare	Hiiri	Мишка	Миша	Maus	Ratolí	Mouse	マウス	Pelė	فأر	Тышқан	Mus	Mouse	चहूा	เมาส์	mouse	მაუსი	Pele	Chuột	Ποντίκι	Мышка	Myš	Mus	ماوس
Used to power components wirelessly	Used to power components wirelessly	Használatával alkatrészeket üzemeltethetsz vezeték nélkül	Wordt gebruikt om componenten draadloos van stroom te voorzien	Se utiliza para alimentar componentes de forma inalámbrica	Folosit pentru alimentarea componentelor fără fir	Używany do bezprzewodowego zasilania	Použitý k napájení komponentů bezdrátově	Koristi se za bežično napajanje komponenti	Usado para abastecer componentes sem fio	Usado para abastecer componentes sem fio	Kasutatakse komponentide juhtmevabaks toiteks	Utilisé pour alimenter les composants sans aucun fil	Utilisé pour alimenter les composants sans aucun fil	근처에 가져가면 LED를 켤 수 있음	用于为组件无线供电	用於為組件無線供電	Koristi se za bežično napajanje komponenti	Используется для беспроводного питания компонентов	Bileşenlere kablosuz güç iletmeyi salar	käytetään komponenttien langattomaan virtalähteeseen	Използва се за безжично захранване на компоненти	Використовується для безпровідного живлення компонентів	Wird für die Drahtlose Stromversorgung verwendet.	S'utilitza per a la font d'alimentació sense fil.	Utilizzabile per alimentare componenti senza fili	コンポーネントにワイヤレスで電力を供給するために使用されます	Naudojamas komponentams maitinti belaidžiu būdu	تستخدم للمكونات لاسلكيًا	Құрамдас бөліктерді сымсыз қуаттандыру үшін қолданылады	Brukt til å forsyne komponenter trådløst	Ginagamit upang paganahin ang mga bahagi nang wireless	वायरलेस तरीके सेघटकों को बि जली देनेके लि ए उपयोग कि या जाता है	ใช้สำหรับจ่ายไฟให้กับส่วนประกอบแบบไร้สาย	Digunakan untuk menyalakan komponen secara nirkabel	გამოიყენება უკაბელო ელ. ენერგიისთვის	Izmantots komponentu barošanai bez vadiem	Được sử dụng để cấp nguồn cho các thành phần không dây	Χρησιμοποιείται για την ασύρματη τροφοδοσία εξαρτημάτων	Выкарыстоўваецца для бесправаднога харчавання кампанентаў	Používa sa na napájanie komponentov bezdrôtovo	Används för att ge ström till delar trådlöst	برای برق دادن به قطعات به صورت بی سیم
Crate	Crate	Kosár	Krat	Caja	Ladă	Skrzynia	Krabice	Crate	Caixa	Caixa	Kast	Caisse	Caisse	상자	箱子	箱子	Sanduk	Ящик	kasa	Laatikko	Щайга	Ящик	Kiste	Caixa	Cassa	クレート	Dėžė	قفص	Қорап	Kasse	Crate	टोकरा	ลัง	peti	Crate	Kaste	Thùng	Κιβώτιο	Скрыня	Krabica	låda	جعبه
Limited Time	Limited Time	Korlátozott idő	Beperkte tijd	Tiempo limitado	Timp Limitat	Limitowany czas	Limitovaný čas	Ograničeno vrijeme	Tempo Limitado	Tempo Limitado	Piiratud Aeg	Temps Limité	Temps Limité	기간 한정 판매	时间有限	時間有限	Ograničeno vreme	Ограниченное время	Sınırlı zaman	Vain rajoitetun ajan	Ограничено време	Обмежений час	Begrenzte Zeit	Temps limitat	Tempo Limite	期間限定	Ribotas laikas	وقت محدود	Шектеулі уақыт	Begrenset tid	Limitadong oras	सीमि त समय	จำกัดเวลา	waktu terbatas	ლიმინტური დრო	Limitēts Laiks	Giới Hạn Thời Gian	Περιορισμένος Χρόνος	Абмежаваны час	Obmedzený čas	Begränsad tid	زمان محدود است
